country,pearson_r_school_gdp,p_value,n
Antigua and Barbuda,-0.0271864325831394,0.8973604947939354,25
Brunei Darussalam,-0.02948110464113157,0.8887477574465757,25
Bolivia,-0.03100853520260628,0.8830214821165011,25
United Arab Emirates,-0.03252280201750129,0.877350181067465,25
Marshall Islands,-0.037310823358450505,0.8594577461401798,25
Fiji,-0.038046801585428905,0.8567131963944872,25
Bahrain,-0.04593305749125152,0.8274119823833269,25
"Micronesia, Fed. Sts.",-0.04773482647272797,0.8207474509848196,25
Finland,-0.050363304491203215,0.8110467577143168,25
Monaco,-0.05635911078148911,0.7890217283454125,25
Benin,-0.06223844149917515,0.7675761704331343,25
Suriname,-0.06718082217624685,0.7496751512486,25
Eritrea,-0.06725491575591576,0.7494077181472117,25
Denmark,-0.07229435959529301,0.73128582114591,25
Costa Rica,-0.07257035620128285,0.730297265027301,25
New Zealand,-0.07861592623713107,0.7087507463872272,25
Canada,-0.08465703368777905,0.6874351873830656,25
Bhutan,-0.08672069706817222,0.680205559419009,25
France,-0.09519546764734084,0.650808398494749,25
Greece,-0.098746372141085,0.6386371022716363,25
Equatorial Guinea,-0.10145487790654417,0.6294137423151127,25
El Salvador,-0.10520948207735535,0.6167169987210906,25
Bangladesh,-0.10626068185509926,0.6131810882129612,25
"Yemen, Rep.",-0.10827354057063343,0.606433893095905,25
Cayman Islands,-0.10985056777847278,0.6011693825671947,25
Tuvalu,-0.12721999337033477,0.5445116667169817,25
Paraguay,-0.13235389788494165,0.528253995998977,25
"Korea, Rep.",-0.1330179128472406,0.5261682348221896,25
Curacao,-0.14849128121924277,0.4787045191536756,25
Dominica,-0.1559909254531973,0.4565134323048981,25
Belize,-0.15646307329061448,0.45513468554028175,25
Tonga,-0.15875730424233872,0.4484664162467337,25
Palau,-0.16053332917744198,0.44334010177466376,25
Jordan,-0.16429359350776496,0.43259033791677826,25
Japan,-0.16941518383406848,0.41817816147377607,25
United Kingdom,-0.1798417489732768,0.3896690246390051,25
Barbados,-0.18593573065779545,0.37353121858963856,25
Jamaica,-0.18807089625268097,0.36796970123519546,25
Vanuatu,-0.19101974104934977,0.360368400354904,25
United States,-0.191952437999372,0.3579834557492981,25
St. Kitts and Nevis,-0.19440670937783391,0.351752206521369,25
Aruba,-0.19860104123353334,0.34125257830208106,25
Guyana,-0.20252039683668369,0.3316125292883904,25
Dominican Republic,-0.20596591939891143,0.3232751006655314,25
Bermuda,-0.2083586738917895,0.3175608770930989,25
Luxembourg,-0.20896639485699875,0.3161194577552923,25
Samoa,-0.21809106395609376,0.294960481694935,25
Israel,-0.2257456174040246,0.27791098120011554,25
Timor-Leste,-0.2303410672853945,0.2679825029272691,25
Central African Republic,-0.2351019278404864,0.2579395798980394,25
Iraq,-0.24270012385712147,0.24242231334617645,25
Mozambique,-0.25120940832587363,0.2257867202887901,25
Morocco,-0.2560297523693108,0.2167087481876087,25
Chad,-0.2609260652128603,0.20774191077123905,25
"Hong Kong SAR, China",-0.2634423047975714,0.20323291123052625,25
Zimbabwe,-0.26573491636868757,0.1991829369959015,25
Moldova,-0.2696042585026799,0.19247308645371936,25
Qatar,-0.28140012483032817,0.1729796334681348,25
Mali,-0.28775205137974813,0.16307368461416502,25
Malawi,-0.2965387932231217,0.1500384266251915,25
"Bahamas, The",-0.3230824677638398,0.11518841037845695,25
Thailand,-0.32731296293230383,0.11023634469083396,25
South Africa,-0.32928514496953837,0.10798216693207878,25
Cyprus,-0.34349404345637424,0.09273622290882919,25
Kiribati,-0.35386517177597077,0.08266984813530194,25
Namibia,-0.4216097231535001,0.03580637057624694,25
Pakistan,-0.4335968143260284,0.03035864786143661,25
Uzbekistan,-0.4389103672798059,0.028166739325436244,25
Ireland,-0.44860290334464875,0.02449685230112271,25
Trinidad and Tobago,-0.49762222858929894,0.01136879707443321,25
Sudan,-0.514709929238538,0.008472390526819203,25
West Bank and Gaza,-0.5421062055678418,0.005120839949134383,25
Azerbaijan,-0.542514384804691,0.005080961628277298,25
Brazil,-0.5813974707959014,0.002302626179662679,25
American Samoa,,,25
British Virgin Islands,,,25
Channel Islands,,,25
Djibouti,,,25
Faroe Islands,,,25
French Polynesia,,,25
Gibraltar,,,25
Greenland,,,25
Guam,,,25
Isle of Man,,,25
"Korea, Dem. People's Rep.",,,25
Kosovo,,,25
New Caledonia,,,25
Northern Mariana Islands,,,25
St. Martin (French part),,,25
Virgin Islands (U.S.),,,25
